# start     end     duration
1185582175 1185583816 1641
1185583939 1185588035 4096
1185588035 1185592131 4096
1185592131 1185596227 4096
1185596227 1185600323 4096
1185600323 1185604419 4096
1185604419 1185608515 4096
1185608515 1185609176 661
1185615253 1185619349 4096
1185619349 1185623445 4096
1185623445 1185627541 4096
1185627541 1185631465 3924
1185657012 1185657618 606
1185658405 1185661973 3568
1185663125 1185667221 4096
1185667221 1185667694 473
1185667824 1185671920 4096
1185671920 1185676016 4096
1185676016 1185680112 4096
1185680112 1185684208 4096
1185684208 1185686036 1828
1185688132 1185692228 4096
1185692228 1185692843 615
1185694830 1185698926 4096
1185698926 1185703022 4096
1185703022 1185703716 694
1185706559 1185710655 4096
1185710655 1185714094 3439
1185717213 1185721309 4096
1185721309 1185725405 4096
1185725405 1185725681 276
1185752703 1185756799 4096
1185756799 1185760895 4096
1185760895 1185764510 3615
1185766527 1185770623 4096
1185770623 1185774719 4096
1185774719 1185778815 4096
1185778815 1185782911 4096
1185782911 1185787007 4096
1185787007 1185791103 4096
1185791103 1185795199 4096
1185795199 1185799295 4096
1185799295 1185803391 4096
1185803391 1185807487 4096
1185807487 1185811583 4096
1185811583 1185813600 2017
1185834803 1185838899 4096
1185838899 1185841805 2906
1185844430 1185848526 4096
1185848526 1185852416 3890
1185859289 1185863385 4096
1185863385 1185867481 4096
1185867481 1185871577 4096
1185871577 1185875673 4096
1185875673 1185877299 1626
1185884855 1185888951 4096
1185888951 1185893047 4096
1185893047 1185897143 4096
1185897143 1185898649 1506
1185908557 1185909698 1141
1185911226 1185912267 1041
1185917123 1185917208 85
1185919458 1185919620 162
1185919760 1185923856 4096
1185923856 1185924698 842
1185927650 1185927743 93
1185928394 1185932490 4096
1185932490 1185935429 2939
1185938678 1185942774 4096
1185942774 1185946870 4096
1185946870 1185950966 4096
1185950966 1185955062 4096
1185955062 1185959158 4096
1185959158 1185961201 2043
1185963700 1185967796 4096
1185967796 1185971892 4096
1185971892 1185975988 4096
1185975988 1185980084 4096
1185980084 1185984180 4096
1185984180 1185988276 4096
1185988276 1185992372 4096
1185992372 1185996468 4096
1185996468 1185999076 2608
1186004105 1186008201 4096
1186008201 1186012297 4096
1186012297 1186016393 4096
1186016393 1186020489 4096
