# gps-start   gp-stop  duration
1182907848 1182968079 60231
1182978693 1182980413 1720
1182991164 1182992670 1506
1182994476 1182998512 4036
1183000565 1183000954 389
1183003246 1183008871 5625
1183012258 1183086110 73852
1183090199 1183093428 3229
1183101507 1183144269 42762
1183146911 1183161428 14517
1183164668 1183175579 10911
1183175765 1183194810 19045
1183196907 1183207449 10542
1183211486 1183220809 9323
1183226260 1183241630 15370
1183244287 1183273716 29429
1183277870 1183298457 20587
1183324519 1183335264 10745
1183336509 1183338263 1754
1183344636 1183357910 13274
1184033240 1184072323 39083
1184098611 1184098651 40
1184098680 1184101352 2672
1184101627 1184102995 1368
1184103002 1184107052 4050
1184151849 1184202810 50961
1184204772 1184212989 8217
1184232786 1184233099 313
1184237683 1184243995 6312
1184245878 1184256570 10692
1184365754 1184370179 4425
1184402086 1184421027 18941
1184462587 1184475183 12596
1184479264 1184528381 49117
1184537237 1184538428 1191
1184538452 1184539877 1425
1184540344 1184558102 17758
1184563526 1184566385 2859
1184567976 1184577384 9408
1184581315 1184604592 23277
1184608167 1184608485 318
1184610648 1184612256 1608
1184612306 1184612977 671
1184615860 1184616790 930
1184616813 1184625909 9096
1184648800 1184682939 34139
1184687955 1184688494 539
1184688520 1184689546 1026
1184689570 1184702340 12770
1184720612 1184734466 13854
1184738828 1184753514 14686
1184766352 1184769174 2822
1184780153 1184784541 4388
1184794970 1184796476 1506
1184798166 1184812366 14200
1184843190 1184854322 11132
1184857169 1184864856 7687
1184867933 1184914219 46286
1184916631 1184926575 9944
1184930810 1184975570 44760
1184979977 1184980232 255
1184982205 1185009051 26846
1185083105 1185102412 19307
1185144018 1185154003 9985
1185157515 1185160869 3354
1185179383 1185209255 29872
1185210951 1185212380 1429
1185244709 1185258236 13527
1185258283 1185307302 49019
1185335781 1185380560 44779
1185382893 1185395109 12216
1185422899 1185454498 31599
1185456195 1185480149 23954
1185502632 1185509871 7239
1185511780 1185566556 54776
